# "1"
73.2 2.01


# "377"
48.4 2.3
49.2 1.88


# "38"
74.8 1.81
75.6 2.0


# "384"
64.8 1.96
76.0 1.52


# "386"
99.2 2.84


# "388"
62.4 2.77


# "39"
23.6 1.68
24.8 1.57


# "391"
74.0 1.98


# "394"
98.4 1.57
100.4 2.15


# "395"
56.0 1.77


# "400"
77.6 1.38


# "404"
31.6 2.65


# "405"
30.0 1.84
46.8 1.16


# "408"
34.4 2.31
58.0 1.41


# "410"
34.8 1.33


# "412"
62.4 1.32
65.2 2.06
82.4 1.83


# "416"
74.4 1.67
74.8 2.51


# "419"
50.0 2.8


# "422"
56.0 1.85


# "424"
70.4 2.7


# "428"
43.6 2.75


# "429"
40.4 1.26


# "431"
54.4 1.39
59.2 1.9


# "435"
52.0 1.44


# "437"
72.8 1.39


# "439"
40.8 2.23


# "443"
68.4 2.92


# "447"
77.6 1.24
78.4 2.14


# "452"
30.8 2.45
61.2 1.83
62.0 2.67
60.8 2.92


# "453"
52.0 2.0


# "456"
32.0 2.69
60.0 2.56


# "458"
67.2 1.55
69.2 1.52


# "46"
54.0 1.44


# "464"
37.6 2.02


# "465"
41.2 2.81


# "466"
29.2 1.67


# "469"
44.8 2.42


# "470"
55.2 1.7


# "471"
50.0 2.55


# "478"
48.4 2.04


# "48"
104.0 1.58
104.0 2.77


# "482"
79.6 2.28


# "483"
22.8 1.26
54.8 1.62


# "485"
65.2 2.04


# "486"
35.6 1.52
70.8 1.67
72.4 1.53
73.6 2.5


# "487"
72.4 2.83


# "488"
74.0 1.26
75.6 1.55


# "489"
30.4 1.66
32.4 2.39


# "49"
59.6 1.93


# "492"
91.6 1.71
93.6 2.64


# "494"
77.2 1.81
78.0 1.56


# "495"
32.4 1.98
66.8 1.54


# "496"
74.4 2.91


# "498"
54.0 1.54
62.8 2.01


# "499"
44.4 1.26


# "5"
80.4 1.48
82.0 1.98


# "50"
29.2 2.68


# "52"
63.2 1.3
64.4 1.7


# "54"
26.4 1.28
27.2 1.81


# "57"
64.8 1.99
66.8 1.77


# "62"
60.0 2.35


# "63"
36.0 1.84
38.0 2.76


# "64"
81.2 1.52


# "66"
77.2 1.5


# "68"
75.2 1.5
76.8 2.37


# "69"
28.8 1.53
30.0 2.18


# "71"
46.4 1.59
47.6 1.67


# "73"
76.4 1.35
77.2 2.82


# "77"
51.2 2.32


# "82"
63.2 2.85
65.2 1.79


# "83"
59.6 2.05
61.6 1.69


# "88"
30.4 2.39


# "90"
33.2 1.91


# "95"
59.6 1.63


# "97"
50.8 1.79


# "98"
36.8 1.24
38.0 1.84


# "99"
28.8 1.84
50.8 1.42
66.4 1.63
65.6 2.44


