# "0"
28.0 1.88


# "380"
70.4 1.94


# "382"
38.0 1.4
39.2 2.05


# "383"
30.8 2.11


# "384"
108.0 2.67


# "385"
48.4 1.2
49.6 1.96


# "386"
54.0 2.73
55.6 1.43


# "388"
45.2 2.95


# "390"
66.8 1.32
75.2 2.64


# "393"
88.8 0.0
88.0 2.73
91.6 1.52
91.6 2.6


# "395"
44.4 1.2
45.2 1.84
40.4 2.54
46.8 2.59


# "396"
58.8 2.3


# "397"
37.2 1.58


# "398"
51.6 1.58
53.2 2.58


# "399"
63.6 1.24
64.4 1.91


# "4"
50.4 2.36


# "400"
52.4 1.98
55.2 2.68


# "401"
42.4 2.2


# "404"
62.8 2.08
65.2 1.97


# "406"
54.8 1.17
56.4 1.67


# "408"
60.8 0.0


# "409"
57.2 1.46


# "411"
88.4 1.97
88.0 2.74


# "412"
66.8 2.59


# "414"
35.6 1.51
36.8 2.01


# "415"
52.8 1.3


# "416"
58.8 2.06


# "418"
87.2 1.51


# "419"
67.6 2.01


# "421"
95.2 2.24


# "422"
52.4 1.33
53.6 1.61


# "423"
36.4 1.72


# "424"
51.6 1.11
52.8 1.98


# "425"
24.8 1.53
26.0 2.27
60.4 0.86


# "426"
58.4 1.36


# "427"
78.8 2.62
80.8 1.33


# "43"
50.8 1.51
56.4 2.35
52.0 0.0
54.8 1.22


# "430"
53.6 1.91


# "431"
37.2 1.61


# "433"
83.6 1.27
98.0 1.8


# "434"
96.4 1.64
98.0 2.02


# "438"
73.2 1.51


# "439"
62.4 2.52


# "445"
81.2 1.56
80.4 0.0
81.6 2.92


# "448"
33.6 2.4


# "449"
80.4 1.36
81.6 2.03


# "451"
47.2 1.66


# "452"
51.6 1.3


# "455"
70.8 2.05


# "458"
36.4 1.7


# "459"
71.2 2.66


# "460"
53.6 2.18


# "461"
54.4 1.83
65.6 1.96
68.4 2.58


# "462"
24.4 1.5
32.0 1.55


# "463"
46.4 1.74
48.0 2.24


# "464"
64.8 2.19
62.0 2.92
62.4 1.1


# "465"
108.0 1.86


# "466"
54.4 1.28
55.6 1.75


# "467"
82.8 1.52
84.0 1.76


# "47"
97.6 2.19


# "470"
58.0 2.71
57.6 2.24


# "471"
38.8 1.59
40.0 1.54


# "472"
48.4 1.18
49.6 2.1


# "474"
46.4 2.47


# "477"
79.6 2.95
81.2 1.72


# "478"
98.4 2.86


# "479"
46.8 1.67
48.4 2.34


# "480"
57.2 2.24
66.4 2.13


# "485"
60.4 2.72


# "487"
44.8 1.32


# "491"
77.2 1.42
76.4 2.34


# "493"
40.8 1.05


# "494"
82.4 1.51


# "495"
35.2 2.78


# "497"
43.6 2.66


# "498"
80.0 1.8


# "56"
58.8 1.09
60.0 2.22


# "59"
61.2 2.39


# "6"
50.8 1.36


# "62"
66.8 2.77


# "63"
48.8 2.56
59.2 2.4


# "65"
26.0 1.19
27.2 1.82


# "66"
77.2 1.15


# "67"
46.8 2.08


# "69"
58.0 2.86
60.4 2.93
59.6 1.89
58.8 0.99


# "7"
38.4 1.19
40.0 1.78


# "71"
24.4 1.92


# "72"
55.6 1.76


# "73"
37.6 1.81
38.8 1.85


# "74"
30.0 1.7
31.2 2.66


# "78"
103.6 1.43


# "83"
31.6 1.61


# "86"
46.4 2.63


# "90"
42.4 2.24


# "91"
44.8 1.28
45.6 1.94


# "95"
56.0 1.1
56.8 1.46


# "98"
48.0 1.13
49.6 1.76


# "99"
71.6 2.48
71.6 0.89


