sim_time,agent_id,agent_speed,agent_waiting,agent_acc,agent_jeck,agent_collision
64.8,rl_0,0.9739366187665963,0.0,3.1480135917663574,0.0,3
65.2,rl_0,0.9739366187665963,0.0,3.1571388244628906,0.0,4
65.6,rl_0,1.8378344248226883,0.0,3.115734577178955,5.399361287850574,5
66.0,rl_0,2.7017322308787803,0.0,3.5328140258789062,0.0,6
66.4,rl_0,3.408212604667334,0.0,3.0104146003723145,-0.9838589516721158,7
66.8,rl_0,4.114692978455887,0.0,2.555556297302246,-2.7755575615628914e-15,8
67.2,rl_0,4.915937418922379,0.0,2.3231544494628906,0.5922754167371203,9
67.6,rl_0,5.717181859388871,0.0,3.361464500427246,0.0,10
68.0,rl_0,5.9741016948708445,0.0,2.8980178833007812,-3.4020287811532435,11
68.4,rl_0,6.231021530352818,0.0,2.4557900428771973,0.0,12
68.8,rl_0,6.165379572193093,0.0,2.375497341156006,-2.0160112102606154,13
69.2,rl_0,6.0997376140333674,0.0,2.954526901245117,0.0,14
69.6,rl_0,6.679191389414474,0.0,2.8896970748901367,4.0318483346302,15
70.0,rl_0,6.79,0.0,3.2638535499572754,-2.929032279972382,16
70.4,rl_0,6.79,0.0,3.4756722450256348,-0.6925538161595357,16
70.8,rl_0,6.79,0.0,3.9955625534057617,0.0,16
71.2,rl_0,8.39,0.0,3.9930830001831055,10.000000000000002,16
71.6,rl_0,9.99,0.0,3.999998092651367,-4.440892098500626e-15,16
72.0,rl_0,10.347120781583916,0.0,4.0,-7.767995115100523,16
72.4,rl_0,10.704241563167832,0.0,4.0,0.0,16
72.8,rl_0,12.304241563167832,0.0,4.0,7.767995115100523,17
73.2,rl_0,13.89,0.0,4.0,-0.08900976979894226,18
73.6,rl_0,13.89,0.0,4.0,-9.910990230201055,19
74.0,rl_0,13.89,0.0,4.0,0.0,20
74.4,rl_0,13.89,0.0,4.0,0.0,21
74.8,rl_0,13.89,0.0,4.0,0.0,22
75.2,rl_0,13.89,0.0,4.0,0.0,23
75.6,rl_0,13.89,0.0,4.0,0.0,24
76.0,rl_0,13.74420259809139,0.0,4.0,-0.9112337619288202,25
76.4,rl_0,13.598405196182778,0.0,4.0,0.0,26
76.8,rl_0,13.082597478628832,0.0,4.0,-2.3125644727833405,27
77.2,rl_0,12.566789761074887,0.0,4.0,0.0,28
77.6,rl_0,12.547972421469796,0.0,4.0,3.106189862180342,29
78.0,rl_0,12.529155081864705,0.0,4.0,0.0,30
78.4,rl_0,12.205810379515706,0.0,4.0,-1.903296017149425,31
78.8,rl_0,11.882465677166707,0.0,4.0,0.0,32
79.2,rl_0,11.14413015627901,0.0,4.0,-2.5936926158668605,33
79.6,rl_0,10.405794635391313,0.0,3.9999942779541016,0.0,34
80.0,rl_0,10.039827292393056,0.0,3.9997663497924805,2.3273011118089992,35
80.4,rl_0,9.6738599493948,0.0,3.9996285438537598,0.0,36
80.8,rl_0,9.135513012531447,0.0,3.999535083770752,-1.0773724616568447,37
81.2,rl_0,8.597166075668095,0.0,3.9984121322631836,0.0,38
81.6,rl_0,7.93070984543106,0.0,3.992598533630371,-0.8006830835855239,39
82.0,rl_0,7.264253615194024,0.0,3.9388680458068848,0.0,40
82.4,rl_0,6.903940447050022,0.0,3.516695976257324,1.9133941380814645,41
82.8,rl_0,6.543627278906021,0.0,3.1884403228759766,0.0,42
83.2,rl_0,6.20947609025442,0.0,2.705918788909912,0.16351237182750666,43
83.6,rl_0,5.87532490160282,0.0,2.411867141723633,0.0,44
84.0,rl_0,5.878974068807791,0.0,2.1720433235168457,2.111252224103571,45
84.4,rl_0,5.882623236012762,0.0,2.2084507942199707,0.0,46
84.8,rl_0,6.453439118006381,0.0,2.2998757362365723,3.5447919674290507,46
85.2,rl_0,7.024255,0.0,2.563015937805176,0.0,46
85.6,rl_0,6.79,0.0,3.9279775619506836,-5.03169301246012,46
86.0,rl_0,6.555745,0.0,2.521726608276367,0.0,46
86.4,rl_0,6.79,0.0,2.364227294921875,2.9281875000000013,46
86.8,rl_0,7.024255,0.0,2.372465133666992,0.0,46
87.2,rl_0,8.624255,0.0,2.303582191467285,8.535906249999996,46
87.6,rl_0,10.224255,0.0,3.546149253845215,0.0,46
88.0,rl_0,11.824254999999999,0.0,3.9880056381225586,0.0,46
