sim_time,agent_id,agent_speed,agent_acc,agent_jeck,agent_collision
1.2,rl_0,1.1816,0.0,0.0,0
1.6,rl_0,2.7305081200862427,3.8722703002156065,9.680675750539015,0
2.0,rl_0,4.279416240172486,3.872270300215608,3.3306690738754696e-15,0
2.4,rl_0,5.772309114951954,3.7322321869486696,-0.3500952831673454,0
2.8,rl_0,7.2652019897314215,3.7322321869486696,0.0,0
3.2,rl_0,5.371664599372611,-4.733843475897026,-21.16518915711424,0
3.6,rl_0,3.4781272090138007,-4.733843475897026,0.0,0
4.0,rl_0,2.2781272090138005,-3.0000000000000004,4.334608689742564,0
4.4,rl_0,1.0781272090138003,-3.0000000000000004,0.0,0
4.8,rl_0,2.6773032319528065,3.9979400573475155,17.49485014336879,0
5.2,rl_0,4.276479254891813,3.9979400573475155,0.0,0
5.6,rl_0,5.871457662573247,3.9874460192035865,-0.02623509535982227,0
6.0,rl_0,7.466436070254682,3.9874460192035865,0.0,0
6.4,rl_0,8.304430237745548,2.0949854187271644,-4.731151501191055,0
6.8,rl_0,9.142424405236413,2.0949854187271644,0.0,0
7.2,rl_0,9.428384098978434,0.7148992343550509,-3.4502154609302838,0
7.6,rl_0,9.714343792720454,0.7148992343550509,0.0,0
8.0,rl_0,9.194725324198481,-1.2990461713049317,-5.034863514149956,0
8.4,rl_0,8.675106855676509,-1.2990461713049317,0.0,0
8.8,rl_0,8.517577672910175,-0.3938229569158347,2.2630580359727426,0
9.2,rl_0,8.360048490143841,-0.3938229569158347,0.0,0
9.6,rl_0,8.955181618944899,1.4878328220026438,4.704139447296196,0
10.0,rl_0,9.550314747745956,1.4878328220026438,0.0,0
10.4,rl_0,10.233121296746154,1.7070163725004939,0.5479588762446252,0
10.8,rl_0,10.915927845746351,1.7070163725004939,0.0,0
11.2,rl_0,10.794374218080335,-0.3038840691650391,-5.027251104163832,0
11.6,rl_0,10.67282059041432,-0.3038840691650391,0.0,0
12.0,rl_0,10.912171576827811,0.5983774660337282,2.255653837996918,0
12.4,rl_0,11.151522563241302,0.5983774660337282,0.0,0
12.8,rl_0,11.413056804047697,0.6538356020159863,0.13864533995564532,0
13.2,rl_0,11.674591044854091,0.6538356020159863,0.0,0
13.6,rl_0,12.10635201492214,1.0794024251701195,1.063917057885333,0
14.0,rl_0,12.538112984990187,1.0794024251701195,0.0,0
14.4,rl_0,12.655944801647346,0.29457954164289646,-1.9620572088180577,0
14.8,rl_0,12.773776618304504,0.29457954164289646,0.0,0
15.2,rl_0,13.094227383974188,0.8011269141742083,1.2663684313282797,0
15.6,rl_0,13.414678149643871,0.8011269141742083,0.0,1
16.0,rl_0,13.600316675645146,0.4640963150031885,-0.8425764979275496,2
16.4,rl_0,13.785955201646422,0.4640963150031885,0.0,3
16.8,rl_0,13.89,0.26011199588394707,-0.5099607977981035,4
17.2,rl_0,13.99404479835358,0.26011199588394707,0.0,5
17.6,rl_0,13.029761883544555,-2.41070728702256,-6.677048207266267,6
18.0,rl_0,12.065478968735531,-2.41070728702256,0.0,7
18.4,rl_0,10.86547896873553,-3.0000000000000027,-1.473231782443607,7
18.8,rl_0,9.66547896873553,-3.0000000000000027,0.0,7
19.2,rl_0,8.710708382403517,-2.3869264658300304,1.5326838354249306,7
19.6,rl_0,7.755937796071505,-2.3869264658300304,0.0,7
20.0,rl_0,6.967288388016567,-1.9716235201373444,1.038257364231715,7
20.4,rl_0,6.1786389799616295,-1.9716235201373444,0.0,7
20.8,rl_0,7.489979469628732,3.278351224167757,13.124936860762752,7
21.2,rl_0,8.801319959295835,3.278351224167757,0.0,7
21.6,rl_0,9.826551841575732,2.5630797056997423,-1.7881787961700368,7
22.0,rl_0,10.851783723855629,2.5630797056997423,0.0,7
22.4,rl_0,10.12726959812083,-1.811285314336999,-10.935912550091853,7
22.8,rl_0,9.40275547238603,-1.811285314336999,0.0,7
23.2,rl_0,8.726261315175213,-1.6912353930270418,0.30012480327489266,7
23.6,rl_0,8.049767157964396,-1.6912353930270418,0.0,7
24.0,rl_0,8.569411681273259,1.2991113082721562,7.4758667532479945,7
