sim_time,agent_id,agent_speed,agent_acc,agent_jeck,agent_collision
9.6,rl_0,3.1654364840926013,0.0,0.0,2
10.0,rl_0,2.7335737908033795,-1.0796567332230544,-2.6991418330576358,3
10.4,rl_0,2.3017110975141577,-1.0796567332230544,0.0,4
10.8,rl_0,2.7039546955189007,1.0056089950118574,5.21316432058728,5
11.2,rl_0,3.1061982935236436,1.0056089950118574,0.0,6
11.6,rl_0,3.1910030751592195,0.2120119540889398,-1.983992602307294,7
12.0,rl_0,3.2758078567947955,0.2120119540889398,0.0,8
12.4,rl_0,3.167360444133717,-0.2711185316526965,-1.2078262143540908,9
12.8,rl_0,3.0589130314726383,-0.2711185316526965,0.0,10
13.2,rl_0,3.473646061843252,1.036832575926534,3.269877768948076,11
13.6,rl_0,3.8883790922138655,1.036832575926534,0.0,12
14.0,rl_0,4.188722038618531,0.7508573660116635,-0.7149380247871762,13
14.4,rl_0,4.489064985023196,0.7508573660116635,0.0,14
14.8,rl_0,5.317858369217692,2.0719834604862397,3.3028152361864405,15
15.2,rl_0,6.146651753412188,2.0719834604862397,0.0,16
15.6,rl_0,6.958632599962643,2.029952116376137,-0.10507836027525697,17
16.0,rl_0,7.770613446513098,2.029952116376137,0.0,18
16.4,rl_0,7.769340263287591,-0.003182958063765451,-5.082837686099755,19
16.8,rl_0,7.768067080062085,-0.003182958063765451,0.0,20
17.2,rl_0,7.7471515299767155,-0.05228887521342429,-0.1227647928741471,21
17.6,rl_0,7.726235979891346,-0.05228887521342429,0.0,22
18.0,rl_0,8.089923284665435,0.9092182619352229,2.403767842871618,22
18.4,rl_0,8.453610589439524,0.9092182619352229,0.0,22
18.8,rl_0,9.042328789151526,1.4717954992800042,1.4064430933619532,22
19.2,rl_0,9.631046988863528,1.4717954992800042,0.0,23
19.6,rl_0,9.607071110986773,-0.0599396946918862,-3.829337984929726,24
20.0,rl_0,9.583095233110019,-0.0599396946918862,0.0,25
20.4,rl_0,9.921848644189648,0.8468835276990738,2.2670580559774,26
20.8,rl_0,10.260602055269278,0.8468835276990738,0.0,27
21.2,rl_0,10.50699396196022,0.6159797667273548,-0.5772594024292976,28
21.6,rl_0,10.753385868651161,0.6159797667273548,0.0,29
22.0,rl_0,10.965408550270656,0.5300567040487358,-0.21480765669654733,30
22.4,rl_0,11.17743123189015,0.5300567040487358,0.0,30
22.8,rl_0,11.54621562307997,0.9219609779745497,0.9797606848145346,30
23.2,rl_0,11.91500001426979,0.9219609779745497,0.0,30
23.6,rl_0,12.442722137892098,1.3193053090557694,0.9933608277030492,31
24.0,rl_0,12.970444261514405,1.3193053090557694,0.0,32
24.4,rl_0,13.09608501476865,0.3141018831356135,-2.5130085648003897,33
24.8,rl_0,13.221725768022896,0.3141018831356135,0.0,34
25.2,rl_0,13.513658956575021,0.7298329713803131,1.039327720611749,35
25.6,rl_0,13.805592145127147,0.7298329713803131,0.0,36
26.0,rl_0,13.756981276870983,-0.12152717064040974,-2.128400355051807,37
26.4,rl_0,13.708370408614819,-0.12152717064040974,0.0,38
26.8,rl_0,13.419652366764021,-0.7217951046269944,-1.5006698349664616,39
27.2,rl_0,13.130934324913223,-0.7217951046269944,0.0,40
27.6,rl_0,11.907619027439818,-3.0582882436835135,-5.841232847641297,41
28.0,rl_0,10.684303729966413,-3.0582882436835135,0.0,42
28.4,rl_0,9.025680454550493,-4.1465581885397995,-2.720674862140715,43
28.8,rl_0,7.367057179134573,-4.1465581885397995,0.0,44
29.2,rl_0,6.857992702517142,-1.2726611915435782,7.184742492490553,45
29.6,rl_0,6.34892822589971,-1.2726611915435782,0.0,46
30.0,rl_0,6.644631798926882,0.73925893256793,5.02980031027877,47
30.4,rl_0,6.940335371954054,0.73925893256793,0.0,48
30.8,rl_0,5.892448307308904,-2.619717661612877,-8.397441485452017,49
31.2,rl_0,4.844561242663753,-2.619717661612877,0.0,50
31.6,rl_0,4.003199297924645,-2.1034048618477685,1.2907819994127712,51
32.0,rl_0,3.161837353185538,-2.1034048618477685,0.0,52
32.4,rl_0,4.528341260514895,3.416259768323393,13.799161575427904,53
32.8,rl_0,5.894845167844252,3.416259768323393,0.0,54
33.2,rl_0,7.178140453963522,3.2082382152981737,-0.5200538825630485,54
33.6,rl_0,8.461435740082791,3.2082382152981737,0.0,54
34.0,rl_0,7.675912780856671,-1.9638073980653004,-12.930114033408685,54
34.4,rl_0,6.890389821630551,-1.9638073980653004,0.0,54
34.8,rl_0,6.3661088445413165,-1.3107024427230862,1.6327623883555353,54
35.2,rl_0,5.841827867452082,-1.3107024427230862,0.0,54
35.6,rl_0,6.813434358333522,2.4290162272035998,9.349296674816715,54
