sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
74.0,3.047,0.0,0.0,0.661,1.811,74.0,-5.43,-0.0
74.4,2.961,0.0,-0.217,1.538,2.569,74.0,-5.43,-0.048
74.8,2.874,0.0,-0.217,2.619,2.84,74.0,-5.43,-0.048
75.2,3.473,0.0,1.497,3.672,2.425,74.0,-5.43,0.843
75.6,4.071,0.0,1.497,4.497,1.701,74.0,-5.43,0.841
76.0,4.63,0.0,1.397,5.041,1.016,1.387,-10.775,0.789
76.4,5.189,0.0,1.397,5.271,0.134,2.143,-11.186,0.789
76.8,5.245,0.0,0.14,5.248,-0.246,3.187,-11.598,0.133
77.2,5.301,0.0,0.14,5.194,-0.028,4.142,-10.633,0.133
77.6,5.273,0.0,-0.07,5.243,0.274,4.717,-9.667,0.024
78.0,5.245,0.0,-0.07,5.619,1.609,5.098,-2.507,0.061
78.4,5.212,0.0,-0.083,6.531,2.949,5.486,-2.557,0.157
78.8,5.179,0.0,-0.083,7.869,3.741,5.766,-2.032,0.266
79.2,5.782,0.0,1.508,9.396,3.896,5.95,-1.508,1.175
79.6,6.385,0.0,1.508,10.995,4.098,12.418,-7.957,1.092
80.0,7.622,0.4,3.09,34.141,4.99,6.745,-8.182,1.752
80.4,8.858,0.8,3.09,35.86,3.603,7.597,-7.596,1.819
80.8,9.846,0.0,2.47,36.864,1.415,8.659,-7.01,1.471
81.2,10.834,0.0,2.47,36.992,-0.773,10.097,-7.501,1.388
81.6,10.645,-0.4,-0.471,36.481,-1.784,11.891,-7.991,-0.062
82.0,10.457,-0.4,-0.471,35.565,-2.796,13.412,-6.508,-0.133
82.4,10.334,-0.4,-0.308,34.268,-3.686,14.276,-5.025,0.02
82.8,10.21,-0.4,-0.308,32.615,-4.577,14.688,-4.487,0.033
83.2,10.607,0.0,0.992,30.777,-4.617,14.938,-3.949,0.677
83.6,11.004,0.0,0.992,28.866,-4.657,15.144,-3.468,0.742
84.0,11.258,0.0,0.635,26.835,-5.497,15.288,-2.987,0.565
84.4,11.512,0.0,0.635,63.728,-2.461,15.37,-2.654,0.537
84.8,12.403,0.0,2.228,62.408,-4.137,15.548,-2.322,1.368
85.2,13.294,0.0,2.228,60.418,-5.814,15.933,-1.906,1.397
85.6,12.997,0.0,-0.741,58.168,-5.435,16.27,-1.491,-0.143
86.0,12.701,0.0,-0.741,56.07,-5.056,16.469,-1.805,-0.131
86.4,12.513,0.0,-0.47,54.11,-4.747,16.697,-2.119,-0.103
86.8,12.325,0.0,-0.47,52.273,-4.438,16.846,-1.786,0.153
87.2,12.66,0.0,0.835,50.296,-5.447,16.891,-1.454,0.663
87.6,12.994,0.0,0.835,47.915,-6.457,16.968,-1.28,0.598
88.0,13.168,0.0,0.434,45.229,-6.971,17.078,-1.106,0.467
88.4,13.341,0.0,0.434,42.338,-7.485,17.292,-1.458,0.469
88.8,13.565,0.0,0.56,39.197,-8.219,17.727,-1.809,0.559
89.2,13.789,0.0,0.56,35.763,-8.952,18.238,-1.391,0.579
89.6,13.266,0.0,-1.308,32.347,-8.128,18.522,-0.973,-0.39
90.0,12.742,0.0,-1.308,29.26,-7.304,18.519,-1.003,-0.398
90.4,11.702,0.0,-2.6,26.446,-6.486,18.215,-1.033,-1.091
90.8,10.662,0.0,-2.6,24.016,-5.668,17.524,-1.148,-1.117
91.2,9.935,0.0,-1.817,21.969,-4.563,16.525,-1.262,-0.734
91.6,9.208,0.0,-1.817,0.0,0.0,15.415,-2.043,-0.727
92.0,10.536,0.0,3.318,0.0,0.0,14.738,-2.825,1.878
92.4,11.863,0.0,3.318,0.0,0.0,14.879,-3.483,1.922
92.8,11.455,0.0,-1.02,0.0,0.0,15.468,-4.142,-0.272
93.2,11.047,0.0,-1.02,7.993,1.025,15.906,-3.549,-0.42
93.6,10.716,0.0,-0.827,8.573,1.875,15.959,-2.955,-0.168
94.0,10.385,0.0,-0.827,9.343,1.978,15.729,-2.792,-0.14
94.4,10.722,0.0,0.842,10.022,1.414,15.435,-2.628,0.556
94.8,11.059,0.0,0.842,10.409,0.524,15.248,-2.657,0.597
95.2,10.57,0.0,-1.223,10.606,0.459,15.042,-2.685,-0.446
95.6,10.08,0.0,-1.223,10.913,1.078,14.759,-3.252,-0.413
96.0,10.239,0.0,0.396,11.339,1.049,14.637,-3.818,0.374
96.4,10.397,0.0,0.396,11.846,1.485,14.739,-4.056,0.359
96.8,10.345,0.0,-0.131,12.569,2.131,14.957,-4.294,0.124
97.2,10.292,0.0,-0.131,13.224,1.142,15.146,-4.011,0.117
97.6,10.401,0.0,0.272,13.45,-0.009,15.232,-3.728,0.296
98.0,10.509,0.0,0.272,13.185,-1.317,15.31,-3.753,0.317
98.4,9.826,0.0,-1.708,12.555,-1.834,15.283,-3.778,-0.654
98.8,9.143,0.0,-1.708,11.717,-2.351,15.004,-3.855,-0.716
99.2,8.084,0.0,-2.648,10.749,-2.492,14.407,-3.931,-1.169
99.6,7.025,0.0,-2.648,9.98,-1.35,13.498,-4.416,-1.193
100.0,6.928,0.0,-0.243,9.476,-1.169,12.552,-4.9,-0.014
100.4,6.831,0.0,-0.243,9.062,-0.906,11.862,-5.892,-0.023
100.8,6.493,0.0,-0.845,8.8,-0.401,11.482,-6.885,-0.305
101.2,6.155,0.0,-0.845,8.691,-0.143,11.12,-6.655,-0.338
101.6,6.055,0.0,-0.25,8.638,-0.122,10.578,-6.424,-0.013
102.0,5.955,0.0,-0.25,8.824,1.05,10.0,0.536,-0.064
102.4,5.698,0.0,-0.644,9.509,2.379,9.45,0.285,-0.183
102.8,5.441,0.0,-0.644,10.71,3.625,8.91,-0.027,-0.076
103.2,5.539,0.0,0.246,12.339,4.515,8.463,-0.339,0.494
103.6,5.637,0.0,0.246,0.0,0.0,8.149,-7.702,0.464
104.0,6.543,0.0,2.263,0.0,0.0,8.096,-7.855,1.401
104.4,7.448,0.0,2.263,0.0,0.0,8.486,-8.103,1.266
104.8,8.368,0.0,2.301,0.0,0.0,9.339,-8.351,1.262
105.2,9.288,0.0,2.301,0.0,0.0,10.549,-8.04,1.264
105.6,10.661,0.0,3.433,0.0,0.0,12.092,-7.729,1.857
