sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
52.4,2.333,0.0,0.0,0.252,1.902,28.261,-3.399,-0.0
52.8,2.137,0.0,-0.489,1.113,2.402,28.261,-3.399,-0.18
53.2,1.941,0.0,-0.489,2.324,3.653,28.261,-3.399,-0.18
53.6,2.947,0.0,2.514,3.795,3.702,28.261,-3.399,1.379
54.0,3.953,0.0,2.514,5.115,2.899,28.261,-3.399,1.374
54.4,4.517,0.0,1.411,6.202,2.537,0.261,-11.436,0.796
54.8,5.081,0.0,1.411,6.864,0.773,1.235,-11.837,0.796
55.2,5.61,0.0,1.321,6.827,-0.956,2.589,-12.239,0.749
55.6,6.139,0.0,1.321,6.556,-0.399,4.004,-11.089,0.75
56.0,6.079,0.0,-0.148,6.626,0.745,5.053,-9.939,-0.015
56.4,6.02,0.0,-0.148,6.926,0.758,5.824,-2.605,0.02
56.8,6.375,0.0,0.888,7.149,0.356,6.604,-2.48,0.725
57.2,6.73,0.0,0.888,7.29,0.349,7.555,-2.748,0.961
57.6,6.552,0.0,-0.447,7.535,0.877,14.47,-6.604,0.18
58.0,6.373,0.0,-0.447,7.917,1.035,14.21,-7.171,-0.021
58.4,6.478,0.0,0.261,24.099,0.67,14.162,-7.737,0.219
58.8,6.582,0.0,0.261,24.41,0.887,34.058,-5.921,0.263
59.2,6.861,0.0,0.697,24.773,0.93,33.502,-5.853,0.453
59.6,7.14,0.0,0.697,25.051,0.456,33.03,-5.785,0.491
60.0,7.175,0.0,0.088,25.187,0.227,32.682,-6.163,0.148
60.4,7.21,0.0,0.088,25.296,0.319,1.501,-5.928,0.168
60.8,8.577,0.0,3.417,25.176,-0.921,1.615,-6.856,1.901
61.2,9.944,0.0,3.417,24.474,-2.588,2.587,-7.485,1.973
61.6,10.557,0.0,1.534,23.256,-3.502,4.207,-8.114,0.953
62.0,11.171,0.0,1.534,21.532,-5.117,6.273,-8.485,0.979
62.4,10.723,0.0,-1.119,19.375,-5.67,8.52,-8.856,-0.333
62.8,10.275,0.0,-1.119,17.224,-5.084,10.417,-7.63,-0.401
63.2,9.075,0.0,-3.0,15.458,-3.746,11.494,-6.403,-1.35
63.6,7.875,0.0,-3.0,14.48,-1.14,11.751,-5.933,-1.322
64.0,8.078,0.0,0.507,14.265,0.063,11.621,-5.463,0.365
64.4,8.281,0.0,0.507,14.561,1.415,11.551,-5.826,0.42
64.8,9.222,0.0,2.352,15.25,2.03,11.854,-6.188,1.353
65.2,10.163,0.0,2.352,16.127,2.354,12.441,-5.361,1.378
65.6,11.391,0.0,3.072,17.076,2.391,13.131,-4.534,1.851
66.0,12.62,0.0,3.072,17.673,0.597,14.078,-4.192,1.688
66.4,12.667,0.0,0.116,17.79,-0.014,15.144,-3.85,0.388
66.8,12.713,0.0,0.116,17.85,0.315,16.301,-4.558,0.413
67.2,12.869,0.0,0.39,18.02,0.535,17.782,-5.265,0.295
67.6,13.025,0.0,0.39,18.021,-0.532,19.625,-6.054,0.478
68.0,13.213,0.0,0.47,17.588,-1.63,18.389,-12.439,0.516
68.4,13.401,0.0,0.47,16.81,-2.262,22.775,-10.878,0.508
68.8,12.287,0.0,-2.784,16.039,-1.593,26.384,-9.482,-1.159
69.2,11.173,0.0,-2.784,15.481,-1.197,28.99,-8.086,-1.194
69.6,10.661,0.0,-1.282,14.961,-1.403,31.007,-8.164,-0.475
70.0,10.148,0.0,-1.282,14.532,-0.741,32.85,-8.243,-0.427
70.4,9.928,0.0,-0.55,14.309,-0.372,34.38,-7.333,-0.126
70.8,9.708,0.0,-0.55,13.965,-1.352,35.459,-6.423,-0.141
71.2,9.53,0.0,-0.443,13.22,-2.374,35.998,-5.037,-0.033
71.6,9.353,0.0,-0.443,12.242,-2.513,35.913,-3.652,-0.09
72.0,8.319,0.0,-2.584,11.381,-1.794,35.058,-2.399,-1.152
72.4,7.286,0.0,-2.584,10.92,-0.511,33.288,-1.147,-1.142
72.8,7.537,0.0,0.627,10.715,-0.512,31.196,-1.573,0.424
73.2,7.787,0.0,0.627,10.735,0.608,29.375,-1.999,0.474
73.6,7.259,0.0,-1.321,11.357,2.506,27.538,5.441,-0.578
74.0,6.731,0.0,-1.321,12.719,4.304,25.398,5.671,-0.452
74.4,6.254,0.0,-1.191,14.79,6.05,23.114,5.151,-0.235
74.8,5.778,0.0,-1.191,0.0,0.0,20.848,4.631,-0.206
75.2,6.168,0.0,0.975,0.0,0.0,18.896,-3.716,0.795
75.6,6.558,0.0,0.975,0.0,0.0,17.555,-4.852,0.628
76.0,7.474,0.0,2.289,0.0,0.0,16.764,-5.162,1.255
76.4,8.389,0.0,2.289,0.0,0.0,16.464,-5.473,1.256
76.8,9.293,0.0,2.26,0.0,0.0,39.22,-3.822,1.243
77.2,10.197,0.0,2.26,0.0,0.0,39.144,-4.307,1.245
