sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
20.4,1.089,0.0,0.0,2.431,4.263,13.546,-7.795,-0.0
20.8,2.152,0.0,2.657,4.042,3.795,13.546,-7.795,1.464
21.2,3.214,0.0,2.657,5.467,3.328,13.546,-7.795,1.451
21.6,4.478,0.0,3.16,6.541,2.041,13.546,-7.795,1.709
22.0,5.742,0.0,3.16,7.099,0.753,13.546,-7.795,1.708
22.4,5.649,0.0,-0.233,7.41,0.799,2.082,-9.692,-0.057
22.8,5.556,0.0,-0.233,7.739,0.846,2.731,-10.346,-0.057
23.2,6.151,0.0,1.488,7.991,0.414,3.742,-10.999,0.836
23.6,6.746,0.0,1.488,8.071,-0.017,4.896,-9.874,0.837
24.0,6.34,0.0,-1.015,8.414,1.735,5.638,-1.54,-0.395
24.4,5.934,0.0,-1.015,9.459,3.487,5.988,-1.515,-0.254
24.8,5.779,0.0,-0.389,11.063,4.535,6.216,-1.491,0.191
25.2,5.623,0.0,-0.389,13.087,5.583,6.316,-1.19,0.129
25.6,6.066,0.0,1.107,15.335,5.659,27.271,-3.837,0.802
26.0,6.509,0.0,1.107,17.614,5.735,6.49,-8.01,0.684
26.4,7.535,0.0,2.565,19.675,4.57,6.886,-7.922,1.473
26.8,8.561,0.0,2.565,21.27,3.405,7.664,-7.876,1.452
27.2,9.497,0.0,2.341,22.387,2.18,8.817,-7.829,1.406
27.6,10.434,0.0,2.341,23.013,0.954,10.072,-6.513,1.368
28.0,11.474,0.0,2.6,22.947,-1.286,11.195,-5.198,1.537
28.4,12.514,0.0,2.6,21.984,-3.526,12.356,-4.619,1.623
28.8,11.597,0.0,-2.291,20.579,-3.499,13.31,-4.04,-0.918
29.2,10.681,0.0,-2.291,19.185,-3.473,13.668,-3.471,-0.964
29.6,9.898,0.0,-1.957,17.788,-3.513,13.459,-2.902,-0.82
30.0,9.116,0.0,-1.957,16.374,-3.554,12.872,-3.151,-0.783
30.4,8.869,0.0,-0.618,15.075,-2.94,12.179,-3.399,-0.189
30.8,8.621,0.0,-0.618,14.022,-2.327,11.572,-4.075,-0.172
31.2,8.315,0.0,-0.766,13.202,-1.773,31.47,-2.822,-0.242
31.6,8.008,0.0,-0.766,12.604,-1.218,30.398,-3.492,-0.277
32.0,7.668,0.0,-0.851,12.179,-0.907,29.464,-4.162,-0.279
32.4,7.328,0.0,-0.851,11.878,-0.596,28.44,-3.722,-0.331
32.8,6.669,0.0,-1.648,12.078,1.594,27.04,-3.282,-0.686
33.2,6.01,0.0,-1.648,13.154,3.785,25.326,3.738,-0.735
33.6,5.802,0.0,-0.518,15.008,5.487,44.842,3.979,-0.132
34.0,5.595,0.0,-0.518,17.543,7.188,42.729,4.399,-0.013
34.4,5.728,0.0,0.332,0.0,0.0,40.389,5.045,0.558
34.8,5.861,0.0,0.332,0.0,0.0,37.844,-1.519,0.535
35.2,7.127,0.0,3.166,0.0,0.0,35.385,-1.199,1.899
35.6,8.393,0.0,3.166,0.0,0.0,33.304,-0.878,1.735
36.0,9.729,0.0,3.339,0.0,0.0,31.874,-1.849,1.806
36.4,11.065,0.0,3.339,0.0,0.0,31.367,-2.82,1.809
36.8,12.454,0.0,3.472,0.0,0.0,31.838,-4.02,1.883
