sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
20.8,2.583,0.0,0.0,2.874,-0.362,14.001,-6.801,-0.0
21.2,2.087,0.0,-1.24,2.707,-0.471,14.001,-6.801,-0.551
21.6,1.591,0.0,-1.24,2.529,-0.421,14.001,-6.801,-0.549
22.0,1.685,0.0,0.236,2.252,-0.962,14.001,-6.801,0.192
22.4,1.779,0.0,0.236,1.729,-1.654,14.001,-6.801,0.191
22.8,1.425,0.0,-0.886,1.093,-1.425,14.001,-6.801,-0.373
23.2,1.07,0.0,-0.886,0.595,-1.065,14.001,-6.801,-0.37
23.6,0.661,0.0,-1.023,0.252,-0.651,14.001,-6.801,-0.432
24.0,0.252,0.0,-1.023,0.072,-0.251,14.001,-6.801,-0.414
24.4,0.067,0.0,-0.463,0.008,-0.067,14.001,-6.801,-0.039
24.8,0.0,0.0,-0.168,0.003,0.0,14.001,-6.801,2.087
25.2,0.001,0.0,0.004,0.003,-0.001,14.001,-6.801,39.279
25.6,0.003,0.0,0.004,0.002,-0.003,14.001,-6.801,13.128
26.0,0.001,0.0,-0.006,0.001,-0.001,14.001,-6.801,16.194
26.4,0.0,0.0,-0.002,0.001,0.0,14.001,-6.801,348.449
26.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
27.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
27.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
28.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
28.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
28.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
29.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
29.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
30.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
30.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
30.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
31.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
31.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
32.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
32.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
32.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
33.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
33.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
34.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
34.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
34.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
35.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
35.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
36.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
36.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
36.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
37.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
37.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
38.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
38.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
38.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
39.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
39.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
40.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
40.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
40.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
41.2,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
41.6,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
42.0,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
42.4,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
42.8,0.0,0.0,0.0,0.001,0.0,14.001,-6.801,0.0
43.2,0.0,0.0,0.0,0.199,0.992,14.001,-6.801,0.0
43.6,0.241,0.0,0.601,0.747,1.744,14.001,-6.801,0.649
