sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
44.8,1.988,0.0,0.0,0.623,2.712,29.451,-5.147,-0.0
45.2,2.136,0.0,0.371,1.809,3.219,29.451,-5.147,0.259
45.6,2.285,0.0,0.371,3.14,3.435,29.451,-5.147,0.258
46.0,2.846,0.0,1.403,4.475,3.239,29.451,-5.147,0.797
46.4,3.407,0.0,1.403,5.663,2.702,29.451,-5.147,0.794
46.8,4.568,0.0,2.903,6.517,1.565,0.081,-11.491,1.575
47.2,5.729,0.0,2.903,6.815,-0.072,1.147,-11.543,1.573
47.6,5.882,0.0,0.383,6.66,-0.702,2.497,-11.595,0.261
48.0,6.036,0.0,0.383,6.398,-0.612,3.827,-11.139,0.261
48.4,5.904,0.0,-0.328,6.228,-0.236,4.979,-10.682,-0.103
48.8,5.773,0.0,-0.328,6.243,0.311,5.925,-3.16,-0.071
49.2,5.692,0.0,-0.203,6.467,0.808,6.704,-2.848,0.113
49.6,5.611,0.0,-0.203,6.737,0.545,7.329,-2.554,0.25
50.0,5.811,0.0,0.499,6.847,0.002,7.86,-2.261,0.649
50.4,6.01,0.0,0.499,6.917,0.347,26.46,-5.438,0.509
50.8,5.509,0.4,-1.254,37.306,1.788,25.579,-6.638,-0.514
51.2,5.007,0.8,-1.254,37.976,1.562,24.977,-7.838,-0.505
51.6,5.731,1.0,1.81,38.311,0.111,24.599,-7.534,1.103
52.0,6.455,1.0,1.81,38.163,-0.85,24.389,-7.23,1.048
52.4,6.93,0.6,1.187,37.68,-1.563,24.068,-5.777,0.738
52.8,7.404,0.2,1.187,11.453,2.302,32.739,-0.743,0.694
53.2,8.098,0.6,1.734,12.401,2.434,30.59,-1.012,0.98
53.6,8.792,0.6,1.734,13.348,2.302,28.841,-1.353,1.063
54.0,9.597,1.0,2.014,14.22,2.058,27.528,-1.693,1.243
54.4,10.403,1.0,2.014,14.965,1.668,26.56,-1.463,1.244
54.8,11.379,0.6,2.439,15.52,1.108,25.855,-1.232,1.429
55.2,12.354,0.2,2.439,15.632,-0.552,25.435,-0.933,1.472
55.6,11.681,0.0,-1.683,15.408,-0.564,24.955,-0.633,-0.662
56.0,11.008,0.0,-1.683,15.263,-0.16,24.11,-0.453,-0.683
56.4,10.905,0.0,-0.258,15.166,-0.325,23.038,-0.273,0.034
56.8,10.802,0.0,-0.258,15.074,-0.135,22.005,-0.853,0.074
57.2,10.547,0.0,-0.637,15.088,0.206,21.132,-1.433,-0.137
57.6,10.292,0.0,-0.637,15.399,1.348,20.36,-1.867,-0.17
58.0,10.793,0.0,1.253,16.016,1.735,19.81,-2.3,0.836
58.4,11.295,0.0,1.253,16.56,0.986,19.563,-2.378,0.766
58.8,11.816,0.0,1.304,16.801,0.217,19.552,-2.455,1.013
59.2,12.338,0.0,1.304,16.774,-0.354,19.738,-2.318,0.975
59.6,12.36,0.0,0.055,16.618,-0.424,19.977,-2.181,0.147
60.0,12.382,0.0,0.055,16.495,-0.19,20.141,-1.893,0.259
60.4,12.382,0.0,0.0,16.47,0.066,20.193,-1.605,0.254
60.8,12.382,0.0,0.0,16.52,0.185,20.131,-1.322,0.233
61.2,12.214,0.0,-0.421,16.652,0.472,19.922,-1.038,-0.01
61.6,12.045,0.0,-0.421,16.818,0.357,19.629,-1.238,-0.018
62.0,12.397,0.0,0.88,16.833,-0.278,19.452,-1.437,0.664
62.4,12.749,0.0,0.88,16.539,-1.194,19.364,-0.978,0.72
62.8,12.155,0.0,-1.485,16.067,-1.164,19.045,-0.519,-0.497
63.2,11.561,0.0,-1.485,15.66,-0.873,18.415,-0.62,-0.54
63.6,11.099,0.0,-1.155,15.342,-0.715,17.616,-0.721,-0.402
64.0,10.637,0.0,-1.155,15.145,-0.27,16.792,-1.424,-0.41
64.4,10.769,0.0,0.33,15.008,-0.419,16.183,-2.127,0.398
64.8,10.901,0.0,0.33,14.619,-1.524,16.007,-3.327,0.343
65.2,10.308,-0.4,-1.482,13.933,-1.905,16.22,-4.527,-0.6
65.6,9.716,-0.8,-1.482,13.258,-1.47,16.634,-5.519,-0.66
66.0,8.89,-0.4,-2.066,12.804,-0.802,17.161,-6.511,-0.848
66.4,8.063,-0.0,-2.066,59.306,3.354,17.161,-6.511,-0.802
66.8,8.057,-0.4,-0.015,60.751,3.87,17.161,-6.511,0.131
67.2,8.051,-0.8,-0.015,0.0,0.0,17.161,-6.511,0.082
67.6,8.611,-1.0,1.4,0.0,0.0,17.161,-6.511,0.85
68.0,9.172,-1.0,1.4,13.432,0.271,21.267,-8.428,0.831
68.4,9.345,-1.0,0.433,13.435,-0.256,35.048,-9.925,0.38
68.8,9.518,-1.0,0.433,13.239,-0.721,37.017,-9.056,0.394
69.2,9.487,-0.6,-0.079,12.899,-0.982,38.667,-8.187,0.089
69.6,9.455,-0.2,-0.079,12.448,-1.273,40.203,-8.552,0.194
70.0,8.708,-0.4,-1.867,12.024,-0.848,41.729,-8.917,-0.75
70.4,7.962,-0.4,-1.867,11.733,-0.602,42.78,-7.665,-0.83
70.8,8.043,0.0,0.202,11.376,-1.183,43.196,-6.413,0.252
71.2,8.123,0.0,0.202,10.958,-0.911,43.113,-5.004,0.259
71.6,8.077,0.0,-0.115,10.673,-0.511,42.472,-3.595,0.099
72.0,8.031,0.0,-0.115,10.405,-0.831,41.33,-2.583,0.042
72.4,7.576,0.0,-1.137,10.09,-0.741,39.682,-1.571,-0.417
