sim_time,speed_x,speed_y,acc,front_vehicle_distance,front_vehicle_to_speed,rear_vehicle_distance,rear_vehicle_to_speed,Et
105.6,3.536,0.0,0.0,1.316,1.546,13.478,-8.165,-0.001
106.0,3.436,0.0,-0.251,2.03,2.025,13.478,-8.165,-0.066
106.4,3.335,0.0,-0.251,2.915,2.4,13.478,-8.165,-0.066
106.8,4.008,0.0,1.682,3.795,2.002,13.478,-8.165,0.939
107.2,4.681,0.0,1.682,4.398,1.015,0.455,-11.2,0.938
107.6,4.878,0.0,0.492,4.702,0.505,1.347,-11.701,0.317
108.0,5.074,0.0,0.492,4.925,0.609,2.518,-12.202,0.317
108.4,5.241,0.0,0.417,5.196,0.744,3.742,-11.6,0.278
108.8,5.408,0.0,0.417,5.477,0.662,4.791,-10.998,0.278
109.2,4.969,0.0,-1.097,5.847,1.186,5.543,-3.171,-0.475
109.6,4.53,0.0,-1.097,6.463,1.897,5.871,-2.553,-0.442
110.0,5.387,0.0,2.143,7.105,1.312,6.081,-2.158,1.376
110.4,6.244,0.0,2.143,7.666,1.491,6.475,-1.763,1.578
110.8,6.533,0.0,0.722,24.998,2.388,6.475,-1.763,0.778
111.2,6.822,0.0,0.722,25.796,1.6,6.475,-1.763,0.597
111.6,7.557,0.0,1.838,26.189,0.365,7.589,-7.875,1.025
112.0,8.292,0.0,1.838,26.23,-0.161,8.335,-8.006,1.124
112.4,7.816,0.0,-1.19,26.302,0.523,9.124,-7.834,-0.489
112.8,7.34,0.0,-1.19,26.554,0.733,9.655,-7.662,-0.457
113.2,8.24,0.0,2.249,26.614,-0.432,10.2,-7.482,1.281
113.6,9.139,0.0,2.249,26.12,-2.037,11.033,-7.303,1.324
114.0,9.762,0.0,1.555,25.04,-3.363,11.993,-6.596,0.981
114.4,10.384,0.0,1.555,23.78,-2.937,12.919,-5.889,0.961
114.8,10.511,0.0,0.317,22.789,-2.015,13.724,-5.244,0.354
115.2,10.637,0.0,0.317,21.718,-3.342,14.323,-4.599,0.369
115.6,10.475,0.0,-0.405,20.174,-4.38,14.641,-3.879,-0.051
116.0,10.314,0.0,-0.405,18.319,-4.615,14.606,-3.159,-0.05
116.4,9.572,0.0,-1.855,16.542,-4.269,14.365,-3.75,-0.721
116.8,8.83,0.0,-1.855,14.961,-3.634,32.338,-3.955,-0.796
117.2,8.304,0.0,-1.315,13.592,-3.214,31.541,-2.926,-0.515
117.6,7.778,0.0,-1.315,12.447,-2.51,30.122,-1.897,-0.526
118.0,7.126,0.0,-1.629,52.333,5.234,28.336,-2.269,-0.698
118.4,6.475,0.0,-1.629,54.59,6.054,26.439,-2.642,-0.696
118.8,7.794,0.0,3.298,56.782,4.904,24.879,-3.289,1.844
119.2,9.113,0.0,3.298,58.24,2.384,24.105,-3.936,1.791
119.6,9.932,0.0,2.046,58.79,0.366,23.789,-3.437,1.213
120.0,10.75,0.0,2.046,58.558,-1.526,23.6,-2.939,1.431
120.4,11.92,0.0,2.925,57.499,-3.769,23.876,-3.77,1.693
120.8,13.09,0.0,2.925,55.517,-6.139,24.952,-4.602,1.688
121.2,12.914,0.0,-0.439,0.0,0.0,26.581,-5.538,0.005
121.6,12.738,0.0,-0.439,0.0,0.0,28.514,-6.475,-0.004
122.0,12.582,0.0,-0.391,47.609,-5.965,30.709,-7.18,0.054
122.4,12.426,0.0,-0.391,45.151,-6.324,50.246,-5.425,0.057
122.8,13.068,0.0,1.606,42.39,-7.481,52.137,-6.537,1.071
123.2,13.71,0.0,1.606,39.57,-6.62,54.609,-7.041,1.094
123.6,13.428,0.0,-0.706,37.279,-4.834,57.354,-7.545,-0.111
124.0,13.146,0.0,-0.706,35.654,-3.292,60.108,-7.653,-0.12
124.4,11.946,0.0,-3.0,34.829,-0.832,62.609,-7.761,-1.276
124.8,10.746,0.0,-3.0,0.0,0.0,62.609,-7.761,-1.284
125.2,9.546,0.0,-3.0,0.0,0.0,62.609,-7.761,-1.304
125.6,8.346,0.0,-3.0,0.0,0.0,62.609,-7.761,-1.363
126.0,7.622,0.0,-1.81,0.0,0.0,62.609,-7.761,-0.747
126.4,6.898,0.0,-1.81,0.0,0.0,62.787,4.862,-0.782
126.8,6.827,0.0,-0.178,0.0,0.0,60.718,5.626,0.194
127.2,6.756,0.0,-0.178,0.0,0.0,58.379,6.074,0.42
127.6,6.286,0.0,-1.175,0.0,0.0,55.753,-0.689,-0.204
128.0,5.816,0.0,-1.175,0.0,0.0,52.949,-1.189,-0.422
128.4,6.939,0.0,2.808,0.0,0.0,50.475,-1.689,1.535
128.8,8.062,0.0,2.808,0.0,0.0,48.512,-1.494,1.526
129.2,9.002,0.0,2.348,0.0,0.0,46.884,-1.298,1.288
129.6,9.941,0.0,2.348,0.0,0.0,45.615,-1.414,1.291
