sim_time,agent_id,agent_speed,agent_acc,agent_jerk,agent_collision
2.4,rl_0,0.1619,0.0,0.0,2
2.8,rl_0,1.7160422422232804,3.885355605558201,9.713389013895503,3
3.2,rl_0,3.2701844844465606,3.8853556055582006,-1.1102230246251565e-15,4
3.6,rl_0,3.444524909317548,0.43585106217746805,-8.62376135845183,5
4.0,rl_0,3.618865334188535,0.43585106217746805,0.0,6
4.4,rl_0,5.061298976784542,3.6060841064900173,7.9255826107813725,7
4.8,rl_0,6.503732619380549,3.6060841064900173,0.0,8
5.2,rl_0,6.823325170327715,0.7989813773679155,-7.0177568228052545,9
5.6,rl_0,7.142917721274881,0.7989813773679155,0.0,10
6.0,rl_0,7.003355652775957,-0.34890517124731124,-2.869716371538067,11
6.4,rl_0,6.863793584277032,-0.34890517124731124,0.0,12
6.8,rl_0,6.907640755121708,0.10961792711168927,1.1463077458975013,13
7.2,rl_0,6.951487925966384,0.10961792711168927,0.0,14
7.6,rl_0,8.358575683777335,3.517719394527379,8.520253668539223,15
8.0,rl_0,9.765663441588288,3.517719394527381,5.551115123125783e-15,16
8.4,rl_0,10.882473306489294,2.7920246622525147,-1.814236830687166,17
8.8,rl_0,11.9992831713903,2.7920246622525147,0.0,18
9.2,rl_0,12.417179590883258,1.044741048732396,-4.368209033800296,19
9.6,rl_0,12.835076010376216,1.044741048732396,0.0,20
10.0,rl_0,13.025590850739585,0.4762871009084213,-1.4211348695599368,21
10.4,rl_0,13.216105691102953,0.4762871009084213,0.0,22
10.8,rl_0,13.02561303931366,-0.47623162947323383,-2.381296825954138,23
11.2,rl_0,12.835120387524366,-0.47623162947323383,0.0,24
11.6,rl_0,12.764063618667423,-0.17764192214235752,0.7464742683271908,25
12.0,rl_0,12.69300684981048,-0.17764192214235752,0.0,26
12.4,rl_0,13.0292075272277,0.8405016935430476,2.545359039213513,27
12.8,rl_0,13.365408204644918,0.8405016935430476,0.0,28
13.2,rl_0,13.607338511534035,0.6048257672227919,-0.5891898158006392,29
13.6,rl_0,13.849268818423152,0.6048257672227919,0.0,30
14.0,rl_0,13.212691700048746,-1.5914427959360156,-5.490671407897018,31
14.4,rl_0,12.57611458167434,-1.5914427959360156,0.0,32
14.8,rl_0,13.18256708994508,1.5161312706768504,7.768935166532165,33
15.2,rl_0,13.78901959821582,1.5161312706768504,0.0,34
15.6,rl_0,13.605665003899015,-0.4583864857920128,-4.936294391172158,35
16.0,rl_0,13.42231040958221,-0.4583864857920128,0.0,36
16.4,rl_0,13.16186128776258,-0.6511228045490736,-0.4818407968926519,37
16.8,rl_0,12.90141216594295,-0.6511228045490736,0.0,38
17.2,rl_0,12.15450673494005,-1.8672635775072521,-3.0403519323954464,39
17.6,rl_0,11.407601303937149,-1.8672635775072521,0.0,40
18.0,rl_0,10.326377686852478,-2.7030590427116774,-2.089488663011063,41
18.4,rl_0,9.245154069767807,-2.7030590427116774,0.0,42
18.8,rl_0,8.181849223366294,-2.6582621160037823,0.11199231676973787,43
19.2,rl_0,7.118544376964781,-2.6582621160037823,0.0,44
19.6,rl_0,7.483555821838943,0.9125286121854037,8.926976820472964,45
20.0,rl_0,7.848567266713104,0.9125286121854037,0.0,46
20.4,rl_0,6.7464492285104205,-2.755295095506709,-9.169559269230282,47
20.8,rl_0,5.644331190307737,-2.755295095506709,0.0,48
21.2,rl_0,6.032870663461387,0.9713486828841256,9.316609445977086,48
21.6,rl_0,6.421410136615037,0.9713486828841256,0.0,48
22.0,rl_0,6.643482880053222,0.5551818585954615,-1.04041706072166,48
22.4,rl_0,6.865555623491407,0.5551818585954615,0.0,48
22.8,rl_0,7.778134708796739,2.2814477132633315,4.315664636669674,48
23.2,rl_0,8.690713794102072,2.2814477132633315,0.0,48
23.6,rl_0,10.05389256173849,3.407946919091045,2.8162480145692834,48
24.0,rl_0,11.417071329374908,3.407946919091045,0.0,48
