# "0"
76.4 2.39


# "370"
76.0 2.99
74.4 2.75


# "371"
40.4 2.18


# "374"
68.4 1.27


# "38"
58.8 1.8


# "383"
30.4 1.27
31.6 2.14


# "386"
55.6 1.87


# "390"
65.6 1.61
66.8 2.54


# "393"
74.4 2.73


# "394"
50.4 2.86
51.6 0.77


# "395"
48.0 1.34


# "396"
63.6 2.6
64.0 1.9


# "400"
39.6 1.69
42.0 2.33


# "401"
51.6 2.92
54.8 1.73


# "402"
31.6 2.35


# "404"
83.6 2.16
84.8 2.71


# "408"
46.8 2.41
68.4 2.82


# "409"
38.4 1.46
40.8 2.4


# "411"
93.6 0.82


# "414"
38.0 1.72


# "416"
71.6 2.97
70.4 2.56


# "418"
58.0 2.32
70.8 1.33


# "42"
42.4 1.08
43.6 1.79


# "422"
70.8 1.19
72.0 2.21


# "423"
39.2 2.19
51.2 1.19


# "425"
57.6 1.22
58.4 1.92


# "426"
78.4 0.84
79.6 1.55
80.8 2.99


# "427"
96.4 2.7
98.4 0.65


# "429"
52.4 1.56
53.6 2.32


# "43"
70.4 1.76
72.4 2.07
85.2 1.29


# "431"
42.4 1.78


# "433"
69.2 2.48


# "436"
56.0 1.3
57.2 1.82


# "437"
64.4 1.57


# "438"
61.2 1.67
74.8 2.72


# "439"
50.0 1.61


# "441"
62.4 1.29


# "442"
82.0 1.42


# "443"
41.2 1.88


# "446"
66.0 1.25
67.2 1.8


# "45"
62.0 1.54


# "450"
48.4 2.61


# "451"
43.6 2.22
45.6 2.46


# "452"
72.8 1.75


# "455"
80.4 1.38
81.2 2.45


# "458"
49.6 1.99


# "459"
84.8 0.89


# "461"
74.8 2.85
73.6 2.43


# "462"
25.2 2.2


# "464"
77.6 2.78
78.4 1.14


# "466"
40.8 1.67


# "470"
60.4 1.27
61.6 2.1


# "471"
72.8 1.2


# "473"
42.4 1.34


# "477"
93.2 1.95
94.0 2.28


# "479"
46.4 2.15


# "480"
64.8 2.27


# "492"
41.6 1.31


# "497"
72.8 2.27


# "50"
46.0 1.64


# "52"
89.6 2.4
88.8 1.69


# "55"
50.0 1.36
51.2 2.12


# "57"
83.2 1.3


# "59"
79.6 1.23


# "60"
50.4 1.7


# "61"
63.6 1.6


# "63"
50.8 1.33


# "64"
35.2 1.54


# "65"
60.4 1.28


# "66"
68.8 1.39
70.0 2.12


# "67"
66.0 2.46


# "68"
55.6 2.8
57.2 1.81


# "69"
53.2 1.71


# "70"
48.4 1.33


# "72"
76.8 1.39


# "74"
30.0 3.0
32.4 1.29


# "75"
60.8 1.35


# "78"
42.0 1.41
43.2 2.44


# "8"
41.6 1.66
42.8 2.3


# "81"
90.8 1.2
84.4 1.86
87.6 1.64


# "86"
41.2 1.94
42.0 2.34


# "9"
51.6 1.66


# "90"
28.0 1.97


# "91"
56.0 1.34
56.8 2.04


# "92"
33.6 1.36


# "96"
74.4 1.27


