sim_time,agent_id,agent_speed,agent_acc,agent_jeck,agent_collision
5.6,rl_0,2.5197180848401843,0.10181903839111328,-2.7755575615628914e-15,3
6.0,rl_0,2.519718084840184,0.7562704086303711,0.0,4
6.4,rl_0,3.303003989595192,0.9736640453338623,4.895536904718803,5
6.8,rl_0,3.7265030969560318,0.42349910736083984,-2.248667483713551,6
7.2,rl_0,4.341819487947243,0.6153163909912109,1.1988580226898193,7
7.6,rl_0,4.957135878938454,0.9467008113861084,0.0,8
8.0,rl_0,5.420220956513817,1.4122357368469238,-0.9514457088490469,9
8.4,rl_0,5.8833060340891805,1.3186607360839844,0.0,10
8.8,rl_0,6.030614742071527,0.8426876068115234,-1.973602309956357,11
9.2,rl_0,6.177923450053873,0.37224459648132324,0.0,12
9.6,rl_0,6.632143906838031,1.8743619918823242,1.9181984300113197,13
10.0,rl_0,6.79,2.77264404296875,-1.852277272638675,14
10.4,rl_0,6.79,3.107084274291992,-0.9866005822623092,15
10.8,rl_0,6.79,3.634730339050293,0.0,16
11.2,rl_0,8.39,3.156337261199951,10.000000000000002,16
11.6,rl_0,9.99,3.3403568267822266,-4.440892098500626e-15,16
12.0,rl_0,10.17768334388733,0.1876833438873291,-8.82697910070419,16
12.4,rl_0,10.365366687774658,1.780777931213379,0.0,17
12.8,rl_0,11.068239582338913,3.403306484222412,3.219934691730786,17
13.2,rl_0,11.771112476903168,2.02700138092041,0.0,17
13.6,rl_0,12.047004647548036,0.31641483306884766,-2.668629524496169,18
14.0,rl_0,12.322896818192904,1.1038570404052734,0.0,19
14.4,rl_0,12.87973857225542,2.2829370498657227,1.7559348963603005,20
14.8,rl_0,13.436580326317936,2.1209945678710938,0.0,21
15.2,rl_0,13.89,2.7679524421691895,-0.6463880023778179,22
15.6,rl_0,13.89,3.5032176971435547,-2.8338729605129065,23
16.0,rl_0,13.89,2.486349105834961,0.0,24
16.4,rl_0,13.89,2.92185640335083,0.0,25
16.8,rl_0,13.89,2.6793761253356934,0.0,26
17.2,rl_0,13.89,3.586531639099121,0.0,27
17.6,rl_0,13.89,3.7487101554870605,0.0,28
18.0,rl_0,13.89,1.6834030151367188,0.0,29
18.4,rl_0,13.89,3.615692138671875,0.0,30
18.8,rl_0,13.89,3.1217002868652344,0.0,31
19.2,rl_0,13.89,2.8102974891662598,0.0,32
19.6,rl_0,13.89,3.1886305809020996,0.0,33
20.0,rl_0,13.734428149648837,1.0097312927246094,-0.972324064694774,34
20.4,rl_0,13.229265433736972,-0.5051627159118652,-2.1849429097543838,35
20.8,rl_0,11.829265433736971,-1.5189709663391113,-5.592733025550844,36
21.2,rl_0,10.42926543373697,-1.0944565534591675,0.0,37
21.6,rl_0,9.898734797816395,0.1737518310546875,5.4341835254964055,38
22.0,rl_0,9.36820416189582,-0.1026606559753418,0.0,39
22.4,rl_0,9.068252370132514,-0.29995179176330566,1.4411177759829363,39
22.8,rl_0,8.768300578369209,2.430692672729492,0.0,39
23.2,rl_0,10.368300578369208,2.741184711456299,11.874698698520657,39
23.6,rl_0,11.968300578369208,3.2117223739624023,0.0,40
24.0,rl_0,12.929150289184605,2.109025478363037,-3.994689307403765,41
24.4,rl_0,13.89,1.409376621246338,-1.1102230246251565e-14,42
24.8,rl_0,13.486028362025621,0.5935156345367432,-8.530133429936093,43
25.2,rl_0,12.811496425380113,-0.6745319366455078,-1.6910018666945525,44
25.6,rl_0,11.411496425380113,-1.7710046768188477,-4.534175395965578,45
26.0,rl_0,10.011496425380113,-1.6849415302276611,0.0,46
26.4,rl_0,8.611496425380112,-1.8571116924285889,0.0,47
26.8,rl_0,7.211496425380112,-1.2480448484420776,0.0,48
27.2,rl_0,6.193474118292409,0.5969119071960449,2.3873605807018583,49
27.6,rl_0,5.175451811204706,0.37484049797058105,0.0,50
28.0,rl_0,4.7514436277702465,1.7616171836853027,3.712588272832773,51
28.4,rl_0,4.327435444335787,1.4838829040527344,0.0,52
28.8,rl_0,4.565419127452158,2.7394590377807617,4.1374491659426855,53
29.2,rl_0,4.803402810568528,2.495270252227783,0.0,54
29.6,rl_0,5.631373463202114,2.63315486907959,3.687418559482597,55
30.0,rl_0,6.4593441158357,2.559055805206299,0.0,56
30.4,rl_0,6.589326660800282,1.4129328727722168,-4.362425672931274,57
30.8,rl_0,6.719309205764864,1.5619769096374512,0.0,58
31.2,rl_0,6.623986336016838,1.617751121520996,-1.4081588419537994,59
31.6,rl_0,6.528663466268812,2.56703519821167,0.0,60
32.0,rl_0,6.580146558780754,1.4367365837097168,0.9175372641248014,61
32.4,rl_0,6.631629651292696,1.2442102432250977,0.0,62
32.8,rl_0,6.211723717292461,1.040266990661621,-2.94618141570111,63
33.2,rl_0,5.791817783292226,1.9116582870483398,0.0,64
33.6,rl_0,5.89929535702697,1.884779453277588,3.2961469233436236,65
34.0,rl_0,6.006772930761715,1.2935709953308105,0.0,66
34.4,rl_0,6.79,2.2841224670410156,4.223434346897131,67
34.8,rl_0,6.79,3.089888095855713,-4.895169182739283,68
35.2,rl_0,6.79,2.877595901489258,0.0,69
35.6,rl_0,6.79,3.156628131866455,0.0,69
36.0,rl_0,7.609227457046509,0.8192274570465088,5.12017160654068,69
36.4,rl_0,8.428454914093017,2.396960735321045,-5.551115123125783e-15,69
36.8,rl_0,10.028454914093016,1.6135468482971191,4.879828393459323,69
37.2,rl_0,11.628454914093016,2.5711441040039062,0.0,69
37.6,rl_0,11.628454914093016,2.430661678314209,0.0,69
