sim_time,state,agent_action,agent_reard,agent_id,agent_speed,agent_waiting,agent_jeck,agent_collision
103.2,[ 0.175 -1.    -0.3   -1.     0.    -0.758 -0.031],0.665952742099762,-6.44316576503854,rl_0,8.228085946947783,0.0,0.0,62
103.6,[ 0.044 -1.    -0.229 -1.     0.    -0.754 -0.003],0.661736786365509,-8.000025159809534,rl_0,7.310435473473891,0.0,1.764684540788175,62
104.0,[-0.087 -1.    -0.229 -1.     0.    -0.757  0.025],0.6862787008285522,-1.4018068181818197,rl_0,6.392785,0.0,0.0,62
104.4,[-0.087 -1.     0.    -1.     0.    -0.759 -0.007],0.7218585014343262,-7.980575501516639,rl_0,6.392785,0.0,5.7353154592118205,62
104.8,[-0.087 -1.     0.    -1.     0.    -0.754 -0.039],0.5872231125831604,-1.4018068181818197,rl_0,6.392785,0.0,0.0,62
105.2,[-0.087 -1.     0.    -1.     0.    -0.741 -0.076],0.5804363489151001,-8.31123994318182,rl_0,6.392785,0.0,0.0,62
105.6,[-0.087 -1.     0.    -1.     0.    -0.719 -0.113],0.5646122694015503,-8.31123994318182,rl_0,6.392785,0.0,0.0,62
106.0,[-0.056 -1.     0.054 -1.     0.    -0.693 -0.122],0.5355415344238281,-8.451703951604117,rl_0,6.6070016137695315,0.0,1.3388538360595725,62
106.4,[-0.046 -1.     0.018 -1.     0.    -0.666 -0.121],0.17837616801261902,-8.180032323751547,rl_0,6.678352080974579,0.0,-0.8929134160280239,62
106.8,[-0.031 -1.     0.025 -1.     0.    -0.642 -0.092],0.2537330687046051,-7.924366171605339,rl_0,6.779845308456421,0.0,0.188392251729963,62
107.2,[-0.024 -1.     0.013 -1.     0.    -0.625 -0.059],0.1278594732284546,-7.8850159748075646,rl_0,6.830989097747803,0.0,-0.31468398869037295,62
107.6,[-0.016 -1.     0.014 -1.     0.    -0.616 -0.021],0.14402657747268677,142.19310190092224,rl_0,6.888599728736878,0.0,0.040417760610578224,62
108.0,[-0.01  -1.     0.011 -1.     0.    -0.616  0.017],0.10648831725120544,142.2350231765092,rl_0,6.93119505563736,0.0,-0.09384565055370331,62
